-0.76376,5,-1.0127,-12.947,-9.6121,-0.43375,2.4013,-2.5174
-0.76687,2,-1.0171,-12.974,-9.6545,-0.53055,2.2374,-2.6386
-0.7711,5,-1.212,-13.057,-9.5933,-0.76477,2.0595,-2.801
-0.7736,2,-1.3136,-13.088,-9.7474,-0.86522,1.9767,-2.8121
-0.77482,2,-1.4405,-13.192,-9.9336,-1.0293,1.9114,-2.9454
-0.77575,2,-1.4609,-13.369,-9.9358,-1.1214,1.8529,-2.9455
-0.77967,2,-1.5876,-11.472,-9.152,-3.7791,1.9124,-3.6007
-0.78443,5,-1.7725,-11.656,-9.3062,-3.8954,1.7716,-3.7709
-0.78928,2,-2.3952,-12.89,-8.4987,-4.3258,1.7575,-4.1504
-0.79612,2,-1.9112,-11.457,-7.7871,-6.1038,1.5911,-4.5781
-0.80078,2,-2.0837,-11.618,-7.8047,-6.2941,1.4365,-4.768
-0.82324,2,-2.9277,-13.238,-5.5452,-10.206,-0.16226,-4.9166
-0.82223,2,-3.0365,-13.418,-5.5462,-10.34,-0.30278,-5.1043
-0.83126,1,-3.2794,-11.512,-5.5499,-9.943,-0.23876,-5.7078
-0.83181,1,-3.5695,-11.36,-5.5994,-9.9674,-0.4222,-5.7921
-0.83246,1,-3.6512,-11.514,-6.2484,-10.339,-0.60561,-5.8081
-0.83281,1,-3.9231,-11.575,-6.2013,-10.391,-0.65835,-5.8389
-0.83352,1,-4.0201,-11.384,-6.9227,-10.031,-0.72901,-5.8703
-0.83364,1,-4.1531,-11.688,-7.6041,-9.3846,-0.82927,-5.8089
-0.8338,1,-4.198,-11.733,-7.5368,-9.5613,-1.0308,-6.2496
-0.8345,1,-4.4499,-11.734,-7.5594,-9.7467,-1.107,-6.319
